"title","rating","name"
"Programming F# 3.0","3.86","O'Reilly Media"
"No Place to Hide: Edward Snowden, the NSA, and the U.S. Surveillance State","4.08","Metropolitan Books/Henry Holt (NY)"
"Android Design Patterns: Interaction Design Solutions for Developers","3.72","Wiley Publishing"
"The Career Programmer: Guerilla Tactics for an Imperfect World (Expert's Voice)","3.15","Apress"
"Principles of Concurrent and Distributed Programming","3.44","Pearson"
"The Elements of Scrum","3.94","Dymaxicon"
"Java Se8 for the Really Impatient: A Short Course on the Basics","3.92","Addison Wesley"
"The Book of F#: Breaking Free with Managed Functional Programming","3.88","No Starch Press"
"Good Math: A Geek's Guide to the Beauty of Numbers, Logic, and Computation","3.62","The Pragmatic Programmers, LLC."
"Methods of Programming","4.08","Addison Wesley"
"Principles of Information Security","3.42","Course Technology"
"Learn Windows PowerShell 3 in a Month of Lunches","4.30","Manning"
"Professional Android 4 Application Development","3.94","Wrox Press"
"Show Stopper,: The Breakneck Race to Create Windows NT and the Next Generation at Microsoft","4.12","Free Press"
"Explore It,: Reduce Risk and Increase Confidence with Exploratory Testing","4.33","Pragmatic Bookshelf"
"The Python Standard Library by Example","4.23","Addison Wesley"
"JUnit in Action","3.54","Manning"
"The Mikado Method","3.36","Manning"
"Scrum: a Breathtakingly Brief and Agile Introduction","3.93","Dymaxicon"
"Security+ Guide to Network Security Fundamentals","3.65","Cengage Learning"
"Classic Shell Scripting: Hidden Commands that Unlock the Power of Unix","4.03","O'Reilly Media"
"Head First HTML and CSS","4.25","O'Reilly Media"
"Mobile First","3.96","A Book Apart"
"Genetic Algorithms in Search, Optimization, and Machine Learning","4.14","Addison Wesley"
"Introduction to Distributed Algorithms","3.73","Cambridge University Press"
"Debug It,: Find, Repair, and Prevent Bugs in Your Code","3.45","Pragmatic Bookshelf"
"Visual Explanations: Images and Quantities, Evidence and Narrative","4.29","Graphics Press"
"The Intelligent Web: Search, Smart Algorithms, and Big Data","3.70","Oxford University Press, USA"
"Principles of Transaction Processing","3.78","Morgan Kaufmann Publishers"
"The Mindi?1s I: Fantasies and Reflections on Self and Soul","4.14","Bantam"
"Managing Software Requirements: A Use Case Approach","3.50","Addison Wesley"
"Software Testing","3.74","Sams Publishing"
"MySQL Pocket Reference","3.84","O'Reilly Media"
"Fundamentals of Digital Logic with VHDL Design With CDROM","3.76","McGraw-Hill"
"Calendrical Calculations","4.23","Cambridge University Press"
"Liars and Outliers: Enabling the Trust that Society Needs to Thrive","3.77","Wiley Publishing"
"Beautiful Data: The Stories Behind Elegant Data Solutions (Theory In Practice, #31)","3.64","O'Reilly Media"
"Programming Distributed Computing Systems: A Foundational Approach","3.72","MIT"
"Applied Predictive Modeling","4.45","Springer"
"Living Clojure","4.09","O'Reilly Media"
"Refactoring: Ruby Edition, Adobe Reader","4.10","Addison Wesley"
"Embedded Android: Porting, Extending, and Customizing","4.14","O'Reilly Media"
"Jenkins: The Definitive Guide","3.42","O'Reilly Media"
"The Lambda Calculus: Its Syntax and Semantics","4.21","O'Reilly Media"
"Generative Design: Visualize, Program, and Create with Processing","4.55","Princeton Architectural Press"
"API Design for C++","4.09","Morgan Kaufmann Publishers"
"Test-Driven iOS Development","3.56","Addison Wesley"
"Designing with the Mind in Mind: Simple Guide to Understanding User Interface Design Rules","4.09","Elsevier Science & Technology"
"The Imitation Game","3.63","Tor Books"
"The Systems Bible: The Beginner's Guide to Systems Large and Small: Being the Third Edition of Systemantics","4.04","General Systemantics Press"
"Great Principles of Computing","3.13","MIT"
"Erlang and OTP in Action","4.27","Manning"
"Pattern Oriented Software Architecture Volume 5: On Patterns and Pattern Languages","3.73","John Wiley & Sons"
"Who Owns the Future?","3.77","Simon & Schuster"
"C# 6.0 and the .NET 4.6 Framework","4.58","Apress"
"Mazes for Programmers: Code Your Own Twisty Little Passages","4.31","Pragmatic Bookshelf"
"Computer Science: Discovering God's Glory in Ones and Zeros","3.82","P&R Publishing"
"The Unicode Standard","4.22","Addison Wesley"
"Linux Phrasebook","4.12","Sams Publishing"
"Cryptanalysis: A Study of Ciphers and Their Solution","3.79","Dover Publications"
"Swarm Intelligence: From Natural to Artificial Systems","3.96","Oxford University Press, USA"
"Programming in Go: Creating Applications for the 21st Century","3.75","Addison Wesley"
"Head First JavaScript Programming","4.24","O'Reilly Media"
"Learning Web Design: A Beginner's Guide to Html, Css, Javascript, and Web Graphics","4.17","O'Reilly Media"
"Two Scoops of Django: Best Practices for Django 1.8","4.53","Two Scoops Press"
"Theoretical Neuroscience: Computational and Mathematical Modeling of Neural Systems","4.26","MIT"
"Geometric Algebra for Computer Science: An Object-Oriented Approach to Geometry","3.97","Morgan Kaufmann Publishers"
"Elasticsearch: The Definitive Guide: A Distributed Real-Time Search and Analytics Engine","4.23","O'Reilly Media"
"Bayesian Data Analysis","4.20","CRC Press"
"The Art of Software Security Assessment: Identifying and Preventing Software Vulnerabilities","4.45","Addison Wesley"
"Principles of Distributed Database Systems","3.94","Prentice Hall"
"Algorithms And Data Structures: The Basic Toolbox","4.00","Springer"
"The Idea Factory: Bell Labs and the Great Age of American Innovation","4.15","Penguin"
"Bulletproof SSL and TLS: The Complete Guide to Deploying Secure Servers and Web Applications","4.59","Feisty Duck Ltd"
"Pro ASP.NET MVC 5","4.13","Apress"
"PHP and MySQL for Dynamic Web Sites: Visual QuickPro Guide","3.83","Peachpit Press"
"Java 8 Lambdas: Pragmatic Functional Programming","3.99","O'Reilly Media"
"Learn Ruby the Hard Way","3.67","Self"
"Cybersecurity and Cyberwar: What Everyone Needs to Know(r)","3.83","Oxford University Press, USA"
"3D Math Primer for Graphics and Game Development","4.16","Jones & Bartlett Publishers"
"HTML5 for Web Designers","4.02","A Book Apart"
"The Practice of Network Security Monitoring: Understanding Incident Detection and Response","4.03","No Starch Press"
"Hacker, Hoaxer, Whistleblower, Spy: The Many Faces of Anonymous","3.84","Verso"
"Computer Vision: Models, Learning, and Inference","4.38","Cambridge University Press"
"Introduction to Graph Theory","4.09","Dover Publications"
"Performance Modeling and Design of Computer Systems: Queueing Theory in Action","4.70","Cambridge University Press"
"Comptia A+ Certification All-In-One Exam Guide: Exams 220-801 & 220-802","4.16","McGraw-Hill"
"Thinking Functionally with Haskell","4.14","Cambridge University Press"
"Data Science at the Command Line: Facing the Future with Time-Tested Tools","3.87","O'Reilly Media"
"Linked Data","3.66","Manning"
"The Black Box Society: The Secret Algorithms That Control Money and Information","3.63","Harvard University Press"
"Applying Domain-Driven Design and Patterns : With Examples in C# and .NET","3.61","Addison Wesley"
"Hatching Twitter: A True Story of Money, Power, Friendship, and Betrayal","4.04","Portfolio Hardcover"
"Algorithms Illuminated: Part 1: The Basics","4.49","Soundlikeyourself Publishing, LLC"
"IBM PC Assembly Language and Programming","4.02","Prentice Hall"
"Assembly Language for Intel-Based Computers","4.07","Prentice Hall"
"Functional Programming in JavaScript","4.17","Manning"
"Brotopia: Breaking Up the Boys' Club of Silicon Valley","4.03","Portfolio"
"High Performance MySQL: Optimization, Backups, and Replication","4.39","O'Reilly Media"
"Reactive Microservices Architecture","3.66","O'Reilly Media"
"Essential Algorithms: A Practical Approach to Computer Algorithms","3.90","Wiley Publishing"
"The Unix Philosophy","4.05","Digital Press"
"Programming Rust: Fast, Safe Systems Development","4.61","O'Reilly Media"
"Reactive Microsystems","4.48","O'Reilly Media"
"Async JavaScript","4.02","Leanpub"
"A Common-Sense Guide to Data Structures and Algorithms: Level Up Your Core Programming Skills","4.16","Pragmatic Bookshelf"
"Bad Choices","3.28","Viking Books"
"Life in Code: A Personal History of Technology","3.96","MCD"
"The Everything Store: Jeff Bezos and the Age of Amazon","4.12","Little, Brown and Company"
"Computer Science: A Very Short Introduction","3.78","Oxford University Press, USA"
"Make Your Own Neural Network: An In-depth Visual Introduction For Beginners","4.21","Blue Windmill Media"
"Practical Statistics for Data Scientists: 50 Essential Concepts","4.05","O'Reilly Media"
"What Is Life? with Mind and Matter and Autobiographical Sketches","4.15","Cambridge University Press"
"Python Testing with Pytest: Simple, Rapid, Effective, and Scalable","4.16","Pragmatic Bookshelf"
"The Age of Cryptocurrency: How Bitcoin and Digital Money Are Challenging the Global Economic Order","3.89","St. Martin's Press"
"Introducing Ethereum and Solidity: Foundations of Cryptocurrency and Blockchain Programming for Beginners","3.37","Apress"
"The Cambridge Handbook of Artificial Intelligence","4.10","Cambridge University Press"
"Understanding the Digital World: What You Need to Know about Computers, the Internet, Privacy, and Security","4.28","Princeton University Press"
"The Non-Designer's Design Book","4.05","Peachpit Press"
"The CS Detective: An Algorithmic Tale of Crime, Conspiracy, and Computation","3.98","No Starch Press"
"High Performance Spark: Best Practices for Scaling and Optimizing Apache Spark","3.89","O'Reilly Media"
"Multiagent Systems: Algorithmic, Game-Theoretic, and Logical Foundations","3.68","Cambridge University Press"
"Web Scalability for Startup Engineers","4.58","McGraw-Hill"
"Hacking For Dummies","3.69","Wiley Publishing"
"Computational Science and Engineering","4.00","Wellesley College"
"PHP Web Services: APIs for the Modern Web","3.64","O'Reilly Media"
"Lean Enterprise: How High Performance Organizations Innovate at Scale","4.25","O'Reilly Media"
"C++ For Dummies","3.59","For Dummies"
"Agile Project Management with Scrum","3.70","Microsoft Press"
"Fundamentals of Machine Learning for Predictive Data Analytics: Algorithms, Worked Examples, and Case Studies","4.48","MIT"
"Information: The New Language of Science","3.91","Harvard University Press"
"Game Physics Engine Development With CDROM","4.22","Morgan Kaufmann Publishers"
"Software Requirements 3","4.29","Microsoft Press"
"The Developer's Code: What Real Programmers Do","3.42","The Pragmatic Programmers, LLC."
"Test Driven Development for Embedded C","4.20","Pragmatic Bookshelf"
"Coding Interview Questions","4.09","Createspace Independent Publishing Platform"
"Internetworking with TCP/IP Vol.1: Principles, Protocols, and Architecture","4.12","Prentice Hall"
"Absolute C++","3.84","Addison Wesley"
"Python Algorithms: Mastering Basic Algorithms in the Python Language","4.01","Apress"
"Genetic Programming: On the Programming of Computers by Means of Natural Selection","4.28","Bradford Book"
"Ada, the Enchantress of Numbers: A Selection from the Letters of Lord Byron's Daughter and Her Description of the First Computer","3.34","Critical Connection"
"The Last Lecture","4.26","Hachette Books"
"Principles of Program Analysis","3.87","Springer"
"Term Rewriting and All That","4.11","Cambridge University Press"
"Java Examples in a Nutshell: A Companion Volume to Java in a Nutshell","3.47","O'Reilly Media"
"Database in Depth: Relational Theory for Practitioners","3.96","O'Reilly Media"
"Communication and Concurrency","4.73","Prentice Hall"
"ERLANG Programming","4.09","O'Reilly Media"
"Data Compression Book","3.93","Wiley Publishing"
"The Latex Companion","4.03","Addison Wesley"
"Blown to Bits: Your Life, Liberty, and Happiness After the Digital Explosion","3.63","Addison Wesley"
"Programming Languages: Design and Implementation","3.91","Pearson"
"The Art of Assembly Language","3.70","No Starch Press"
"Introduction to Parallel Computing","3.39","Pearson"
"Introduction to Computational Genomics","4.00","Cambridge University Press"
"Problem Solving with C++: The Object of Programming","3.72","Addison Wesley"
"Ship It,","3.75","Pragmatic Bookshelf"
"Cloud Application Architectures: Building Applications and Infrastructure in the Cloud","3.07","O'Reilly Media"
"Common LISP: The Language","4.26","Digital Press"
"C++: The Complete Reference","4.04","McGraw-Hill"
"Revolution in The Valley: The Insanely Great Story of How the Mac Was Made","4.17","O'Reilly Media"
"Introduction to Computer Theory","3.89","Wiley Publishing"
"Network Security Essentials: Applications and Standards","3.81","Prentice Hall"
"The Formal Semantics of Programming Languages: An Introduction","3.68","MIT"
"C++ from the Ground Up","4.02","McGraw-Hill"
"Lionsi?1 Commentary on UNIX 6th Edition with Source Code","4.38","Peer-To-Peer Communications"
"Beyond Fear: Thinking Sensibly about Security in an Uncertain World","4.00","Copernicus Books"
"Communication Networks: Fundamental Concepts and Key Architectures","4.17","McGraw-Hill"
"Computability: An Introduction to Recursive Function Theory","3.76","Cambridge University Press"
"Logik fA1r Informatiker","3.23","Springer"
"Fluid Concepts and Creative Analogies","3.98","Basic Books"
"Core Java 2, Volume I--Fundamentals (Core Series)","3.83","Prentice Hall"
"VI Editor Pocket Reference (Pocket Reference","4.02","O'Reilly Media"
"Practical UNIX & Internet Security","3.86","O'Reilly Media"
"An Introduction to Bioinformatics Algorithms","3.78","MIT"
"Eniac: The Triumphs and Tragedies of the World's First Computer","3.78","Berkley Trade"
"No Tech Hacking: A Guide to Social Engineering, Dumpster Diving, and Shoulder Surfing","4.00","Syngress Publishing"
"The Google Story: Inside the Hottest Business, Media, and Technology Success of Our Time","3.84","Delta"
"Quality Software Management: Systems Thinking","4.26","Dorset House"
"The Standard C Library","4.12","Prentice Hall"
"Beginning Linux Programming","3.78","Wiley Publishing"
"Ruminations on C++: A Decade of Programming Insight and Experience","3.91","Addison Wesley"
"Starting Out with C++: From Control Structures Through Objects","3.90","Pearson"
"Building Machine Learning Systems with Python","3.86","Packt Publishing"
"Core J2EE Patterns: Best Practices and Design Strategies","3.41","Prentice Hall"
"Java Generics and Collections: Speed Up the Java Development Process","3.94","O'Reilly Media"
"UNIX Network Programming, Volume 2: Interprocess Communications","4.35","Prentice Hall"
"Pattern-Oriented Software Architecture Volume 2: Patterns for Concurrent and Networked Objects","3.65","Wiley Publishing"
"Computer: A History of the Information Machine","4.11","Westview Press"
"A Programmer's Introduction to Mathematics","3.83","Createspace Independent Publishing Platform"
"Programming Languages: Principles and Practice","3.12","Course Technology"
"Machine Learning in Action","3.74","Manning"
"What is DevOps?","3.53","O'Reilly Media"
"Let Us C","4.12","BPB Publications"
"Computability and Unsolvability","3.87","Dover Publications"
"File Structures: An Object-Oriented Approach with C++","3.89","Addison Wesley"
"Mathematical Logic for Computer Science","3.77","Springer"
"Operating System Concepts Essentials","3.76","John Wiley & Sons"
"Python Programming for the Absolute Beginner","3.89","Course Technology"
"Algorithms of the Intelligent Web","3.61","Manning"
"Making Software: What Really Works, and Why We Believe It","3.48","O'Reilly Media"
"Operating System Concepts with Java","3.74","Wiley Publishing"
"An Introduction to Kolmogorov Complexity and Its Applications","3.96","Springer"
"Responsive Web Design","4.16","A Book Apart"
"The Hacker Ethic: A Radical Approach to the Philosophy of Business","3.71","Random House Trade Paperbacks"
"Invent Your Own Computer Games with Python","4.05","Albert&Sweigart"
"Machine Learning: An Algorithmic Perspective","3.64","Chapman & Hall/CRC"
"DSLs in Action","3.49","Manning"
"Real Digital Forensics: Computer Security and Incident Response","4.13","Addison Wesley"
"Game Coding Complete","4.01","Paraglyph Press"
"Principles of Programming Languages: Design, Evaluation, and Implementation","3.70","Oxford University Press, USA"
"Discrete and Combinatorial Mathematics","3.62","Pearson"
"Object-Oriented Software Engineering: Using UML, Patterns and Java","3.68","Prentice Hall"
"The Art of Doing Science and Engineering: Learning to Learn","4.28","CRC Press"
"Numerical Recipes: The Art of Scientific Computing","4.23","Cambridge University Press"
"Worm: The First Digital World War","3.55","Atlantic Monthly Press"
"CSS Mastery: Advanced Web Standards Solutions","4.11","Friends of ED"
"Unlocking the Clubhouse: Women in Computing","4.18","MIT"
"D Is for Digital: What a Well-Informed Person Should Know about Computers and Communications","4.22","Createspace Independent Publishing Platform"
"A Practical Guide to Linux Commands, Editors, and Shell Programming","4.00","Prentice Hall"
"Introduction to Evolutionary Computing","4.03","Springer"
"Wikinomics: How Mass Collaboration Changes Everything","3.72","Penguin"
"Software Craftsmanship: The New Imperative","3.92","Addison Wesley"
"Head First HTML with CSS & XHTML","4.14","O'Reilly Media"
"Webmaster in a Nutshell","3.65","O'Reilly Media"
"A Gift of Fire: Social, Legal, and Ethical Issues for Computers and the Internet","3.33","Prentice Hall"
"Perl Pocket Reference","4.22","O'Reilly Media"
"More Exceptional C++: 40 New Engineering Puzzles, Programming Problems, and Solutions","4.20","Addison Wesley"
"Real-Time Collision Detection (The Morgan Kaufmann Series in Interactive 3d Technology)","4.45","CRC Press"
"Clever Algorithms: Nature-Inspired Programming Recipes","3.73","Lulu"
"Learning OpenCV: Computer Vision with the OpenCV Library","4.01","O'Reilly Media"
"Grace Hopper and the Invention of the Information Age (Lemelson Center Studies in Invention and Innovation series)","3.83","The MIT Press"
"Deep Thinking: Where Machine Intelligence Ends and Human Creativity Begins","3.94","PublicAffairs"
"Deep Learning: A Practitioner's Approach","3.71","O'Reilly Media"
"Turing's Vision: The Birth of Computer Science","4.29","MIT"
"Mathematical Elements for Computer Graphics","4.02","McGraw-Hill"
"Chaos: Making a New Science","3.99","Penguin"
"Operating Systems: Internals and Design Principles","3.65","Prentice Hall"
"Working Effectively with Unit Tests","4.04","Leanpub"
"Best Practices of Spell Design","3.84","Createspace Independent Publishing Platform"
"Mathematical Structures for Computer Science","3.98","W. H. Freeman"
"BDD in Action: Behavior-driven development for the whole software lifecycle","4.09","Manning"
"Understanding Computation: From Simple Machines to Impossible Programs","4.23","O'Reilly Media"
"The Business Blockchain: Promise, Practice, and Application of the Next Internet Technology","3.49","Wiley Publishing"
"Basic Proof Theory","3.83","Cambridge University Press"
"Patterns Principles and Practices of Domain Driven Design","4.29","Waveland Pr Inc"
"The Princeton Companion to Mathematics","4.39","Princeton University Press"
"Docker: Up & Running: Shipping Reliable Containers in Production","3.76","O'Reilly Media"
"Pragmatic Unit Testing in Java 8 with Junit","3.77","Pragmatic Bookshelf"
"Modern Processor Design: Fundamentals of Superscalar Processors","4.25","Waveland Pr Inc"
"Visualize This: The FlowingData Guide to Design, Visualization, and Statistics","3.88","Wiley Publishing"
"Data Structures Using C and C++","4.21","Pearson"
"How to Think About Algorithms","3.87","Cambridge University Press"
"Operating Systems: Principles and Practice","4.10","Recursive Books"
"Complex Adaptive Systems: An Introduction to Computational Models of Social Life","3.95","Princeton University Press"
"Exercises in Programming Style","4.39","CRC Press"
"An Introduction to Parallel Programming","3.78","Morgan Kaufmann Publishers"
"SSH Mastery: OpenSSH, PuTTY, Tunnels and Keys","4.16","Tilted Windmill Press"
"How to Break Software: A Practical Guide to Testing","3.66","Addison Wesley"
"Taming Text","3.81","Manning"
"Write Great Code: Volume 2: Thinking Low-Level, Writing High-Level","4.05","No Starch Press"
"Adrenaline Junkies and Template Zombies: Understanding Patterns of Project Behavior","3.95","Dorset House"
"The Art of Memory Forensics: Detecting Malware and Threats in Windows, Linux, and Mac Memory","4.38","Wiley Publishing"
"Testing Computer Software","3.88","Wiley Publishing"
"Beginning Java EE 7","3.95","Apress"
"Web Operations: Keeping the Data on Time","4.11","O'Reilly Media"
"Object Design: Roles, Responsibilities, and Collaborations","3.70","Addison Wesley"
"Bash Cookbook: Solutions and Examples for Bash Users","3.90","O'Reilly Media"
"RabbitMQ in Action","3.94","Manning"
"How the Mind Works","3.97","W. W. Norton Company"
"Pro C# 5.0 and the .Net 4.5 Framework","4.26","Apress"
"Service Design Patterns: Fundamental Design Solutions for SOAP/WSDL and RESTful Web Services","3.71","Addison Wesley"
"Linux Command Line and Shell Scripting Bible","4.12","John Wiley & Sons"
"The Art of R Programming: A Tour of Statistical Software Design","4.08","No Starch Press"
"Computer Security: Principles and Practice","3.74","Pearson Prentice Hall"
"C# 5.0 in a Nutshell: The Definitive Reference","4.30","O'Reilly Media"
"An Introduction to Programming in Go","3.77","Creative Commons 3.0"
"Principles of Model Checking","3.72","MIT"
"Essential System Administration","3.84","O'Reilly Media"
"MapReduce Design Patterns: Building Effective Algorithms and Analytics for Hadoop and Other Systems","3.91","O'Reilly Media"
"Real World OCaml: Functional programming for the masses","4.23","O'Reilly Media"
"The Definitive Guide to Django: Web Development Done Right","3.86","Apress"
"Succeeding with Agile: Software Development Using Scrum","4.00","Addison Wesley"
"Type Theory And Functional Programming","4.20","Addison Wesley"
"CSS: The Missing Manual","4.12","O'Reilly Media"
"Semantics of Programming Languages: Structures and Techniques","3.44","MIT"
"What Computers Still Can't Do: A Critique of Artificial Reason","4.12","MIT"
"The Recursive Universe: Cosmic Complexity and the Limits of Scientific Knowledge","3.95","McGraw-Hill"
"ML for the Working Programmer","3.76","Cambridge University Press"
"Designing With Web Standards","4.09","New Riders Publishing"
"Languages and Machines: An Introduction to the Theory of Computer Science","3.56","Pearson"
"Object-Oriented Design Heuristics","4.18","Addison Wesley"
"802.11 Wireless Networks: The Definitive Guide","3.64","O'Reilly Media"
"Object-Oriented JavaScript","4.16","Packt Publishing"
"Programming in Objective-C 2.0","3.85","Addison Wesley"
"Little Brother","3.93","Tor Books"
"Physics for Game Developers","3.47","O'Reilly Media"
"Network Algorithmics: An Interdisciplinary Approach to Designing Fast Networked Devices","4.30","Morgan Kaufmann Publishers"
"Google's Pagerank and Beyond: The Science of Search Engine Rankings","3.70","Princeton University Press"
"Approximation Algorithms","4.19","Springer"
"Software Systems Architecture: Working with Stakeholders Using Viewpoints and Perspectives","4.07","Addison Wesley"
"Operating System Principles","3.78","Prentice Hall"
"Writing Efficient Programs","4.00","Prentice Hall"
"HTTP: The Definitive Guide","4.14","O'Reilly Media"
"Rebel Code: Linux and the Open Source Revolution","3.90","Basic Books"
"Computers & Typesetting, Volume A: The TeXBook","4.32","Addison Wesley"
"SQL Pocket Guide","3.90","O'Reilly Media"
"Linux Device Drivers","4.08","O'Reilly Media"
"JavaScript Bible","3.70","Wiley Publishing"
"Computer Algorithms: Introduction to Design and Analysis","3.53","Addison Wesley"
"Object-Oriented Software Engineering","3.79","Addison Wesley"
"Pattern-Oriented Software Architecture Volume 1: A System of Patterns","3.85","Wiley Publishing"
"Large-Scale C++ Software Design","3.90","Addison Wesley"
"Documenting Software Architectures: Views and Beyond","3.69","Addison Wesley"
"Pattern Hatching: Design Patterns Applied","3.73","Addison Wesley"
"Serious Cryptography: A Practical Introduction to Modern Encryption","4.25","No Starch Press"
"Python Tricks","4.40","Dan Bader"
"Beyond Software Architecture: Creating and Sustaining Winning Solutions","3.72","Addison Wesley"
"The Site Reliability Workbook: Practical Ways to Implement SRE","4.29","O'Reilly Media"
"Kubernetes: Up & Running","3.99","O'Reilly Media"
"Hit Refresh","3.77","Harper"
"Fundamentals of Deep Learning: Designing Next-Generation Artificial Intelligence Algorithms","3.90","O'Reilly Media"
"Homo Deus: A Brief History of Tomorrow","4.29","Harper"
"From Counterculture to Cyberculture: Stewart Brand, the Whole Earth Network, and the Rise of Digital Utopianism","3.97","University of Chicago Press"
"Practical Reverse Engineering: x86, x64, ARM, Windows Kernel, Reversing Tools, and Obfuscation","3.88","Wiley Publishing"
"Storytelling with Data: A Data Visualization Guide for Business Professionals","4.37","Wiley Publishing"
"Overcomplicated: Technology at the Limits of Comprehension","3.38","Current"
"Node.Js the Right Way: Practical, Server-Side JavaScript That Scales","3.86","Pragmatic Bookshelf"
"Probably Approximately Correct: Nature's Algorithms for Learning and Prospering in a Complex World","3.62","Basic Books"
"SmallTalk 80 Language: The Language and Its Implementation","4.68","Addison Wesley"
"CSS: The Definitive Guide","3.99","O'Reilly Media"
"Universal Principles of Design: 100 Ways to Enhance Usability, Influence Perception, Increase Appeal, Make Better Design Decisions, and Teach Through Design","4.13","Rockport Publishers"
"Lean from the Trenches","4.20","Pragmatic Bookshelf"
"Graphics Programming Black Book Special Edition","4.48","Coriolis Group,U.S."
"Linux System Programming: Talking Directly to the Kernel and C Library","4.20","O'Reilly Media"
"How to Solve It by Computer","4.12","Prentice Hall"
"The Grammar of Graphics","4.20","Springer"
"Effective C#: 50 Specific Ways to Improve Your C#","4.01","Addison Wesley"
"Slack: Getting Past Burnout, Busywork, and the Myth of Total Efficiency","4.01","Crown Business"
"Software Requirements: Practical Techniques for Gathering and Managing Requirements Throughout the Product Development Cycle","3.97","Microsoft Press"
"Collective Intelligence in Action","3.74","Manning"
"The Hacker Crackdown: Law and Disorder on the Electronic Frontier","3.74","Bantam"
"The Art of SQL","3.92","O'Reilly Media"
"Algorithms in C, Part 5: Graph Algorithms","3.96","Addison Wesley"
"Computability Theory","4.62","CRC Press"
"Tmux: Productive Mouse-Free Development","3.92","The Pragmatic Programmers, LLC."
"Machine Learning with R","4.22","Packt Publishing"
"Linked: How Everything Is Connected to Everything Else and What It Means for Business, Science, and Everyday Life","3.93","Plume"
"The AWK Programming Language","4.25","Pearson"
"Inside the C++ Object Model","4.20","Addison Wesley"
"Agile Testing: A Practical Guide for Testers and Agile Teams","3.83","Addison Wesley"
"Clojure Programming","4.18","O'Reilly Media"
"Programming in Objective C","3.96","Indianapolis"
"Lambda-Calculus, Combinators and Functional Programming","3.00","Cambridge University Press"
"Causality: Models, Reasoning, and Inference","4.18","Cambridge University Press"
"Why Programs Fail: A Guide to Systematic Debugging","3.91","Morgan Kaufmann Publishers"
"The Best Software Writing I: Selected and Introduced by Joel Spolsky","3.84","Apress"
"The Architecture of Open Source Applications, Volume II","4.05","Lulu"
"Head First HTML5 Programming","3.99","O'Reilly Media"
